"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"stmNorthernForests.nlogo"
"baseline"
"09/12/2024 07:44:54:253 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","255","0","255"
"[run number]","enso-freq-wgt","farm-revegetate?","seed-pred","enso-matrix-file","track-stalled?","mean-farm-depth","base-seed-prod-yf","invasion?","crit-density-old","rust-global-inf","max-ticks","fire-invasion","burn-in-regen","flamm-start","base-seed-prod-of","fraction-seed-ldd","farm-edge?","sap-herbivory","phy-radius-inf","phy-local-inf","crit-density-yng","fire-slow","write-record?","mean-ldd","max-forest","extrinsic-sd","fire-frequency","init-composition-file","farm-edge-nodes","perc-seed","phy-global-inf","base-invasion","[step]","abundances"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","0","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","20","[0 0 3380 38695 4045 10760 3984 4111 253 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","1","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","21","[0 0 3240 38795 4045 10799 3984 4111 254 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","2","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","3","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","22","[0 0 2842 39144 4045 10846 3984 4111 256 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","4","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
"1","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","23","[0 0 2705 39227 4045 10876 3984 4111 280 121 187]"
"2","1","false","0","parameter_files/enso_matrix.csv","false","10","4","false","14","0","50","0.1","10","0.5","8","0.15","false","0","1.5","0","12","2","true","5","1","0","0","parameter_files/initial_composition.csv","30","0.59","0","0.05","5","[0 0 10163 15510 8932 13564 7238 8670 391 666 402]"
