 Run Year start.veg start.hb pre.flamm pre.inv pre.man pre.kan pre.yfor pre.ofor fire.size burn.inv burn.man burn.kan burn.yfor burn.ofor post.flamm new.invasions
 0 140 1 8 0.262 0 0.694 0.001 0.065 0.24 15397 0 0.677 0.001 0.001 0.007 0.264 0
 0 151 1 8 0.264 0 0.702 0 0.06 0.238 15570 0 0.685 0 0 0.006 0.266 0
 0 156 1 8 0.266 0 0.709 0 0.058 0.234 15721 0 0.691 0 0.001 0.007 0.268 0
 0 173 1 8 0.267 0 0.715 0.002 0.048 0.236 15782 0 0.695 0.001 0 0.005 0.269 0
 0 199 1 8 0.266 0 0.701 0.02 0.024 0.254 15952 0 0.687 0.016 0 0.006 0.269 0
 0 220 1 8 0.267 0 0.709 0.018 0.015 0.258 16019 0 0.692 0.014 0 0.005 0.27 0
 0 224 1 8 0.27 0 0.729 0.004 0.012 0.255 16186 0 0.711 0.003 0 0.005 0.272 0
 0 231 1 8 0.272 0 0.736 0.002 0.006 0.256 16334 0 0.72 0.001 0 0.005 0.273 0
 0 239 1 8 0.273 0 0.742 0.001 0.002 0.255 16425 0 0.724 0 0 0.005 0.275 0
 0 241 1 8 0.275 0 0.748 0.001 0.001 0.25 16601 0 0.732 0 0 0.005 0.276 0
 0 244 4 0 0.276 0 0.753 0.001 0.001 0.246 1 0 0 0 0 0 0.276 0
