class last.change n5.d3 n5.d4 n10.d3 n10.d4 dist.d3 last.d3 last.d4 dist.d4  r3.sdl r3.sap r4.sdl r4.sap
 2 0 35 1 122 38 1 0 5 0 26 24 5 0
 4 0 23 41 75 127 2.828 0 0 0 26 17 24 22
 3 0 44 0 137 4 0 0 6.403 0 34 25 0 0
 2 0 0 0 10 2 8.062 0 9.487 0 0 0 0 0
 2 15 0 0 25 0 5.099 0 -1 -1 4 0 0 0
 2 23 0 0 0 4 -1 -1 8.944 0 0 0 0 0
 4 0 42 39 137 107 2 0 0 0 31 15 23 20
 4 0 7 58 25 264 3.162 0 0 0 11 14 27 27
 2 23 17 2 52 43 2.828 0 4.472 0 5 10 0 0
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 2 0 11 0 92 12 3.162 0 6.708 0 13 20 0 0
 2 0 0 0 0 1 -1 -1 10 0 0 0 0 0
 3 0 46 0 133 0 0 0 -1 -1 26 22 0 0
 1 0 30 0 123 0 1 0 -1 -1 20 22 0 0
 3 0 30 1 100 16 0 0 4.472 0 22 21 5 0
 2 0 0 14 0 69 -1 -1 2.236 0 0 0 5 9
 2 0 0 0 0 27 -1 -1 5.657 0 0 0 15 12
 2 19 13 5 48 42 2.828 0 1 0 19 12 10 5
 2 0 27 4 88 32 1 0 4.243 0 22 16 21 16
 4 0 22 50 65 153 1 0 0 0 10 18 23 21
 2 0 0 0 4 6 9.055 0 6.083 0 0 0 5 0
 2 0 0 3 2 43 9.849 0 4.123 0 0 0 7 10
 1 0 47 0 171 0 1 0 -1 -1 24 23 0 0
 2 0 0 0 0 6 -1 -1 8.544 0 0 0 0 0
 2 18 2 0 54 19 5 0 6 0 0 0 0 0
 4 0 0 50 9 118 8.544 0 0 0 0 0 23 23
 2 22 0 34 11 127 8.602 0 1.414 0 0 0 16 3
 2 0 8 0 82 34 3.606 0 7.211 0 7 13 18 7
 3 0 39 7 128 33 0 0 2 0 21 21 15 6
 4 0 0 36 22 112 5.657 0 0 0 0 0 23 20
 2 0 0 1 28 36 5.099 0 5 0 12 4 11 7
 3 0 26 8 36 31 0 0 2.236 0 18 23 17 6
 4 0 0 56 0 69 -1 -1 0 0 0 0 17 19
 4 0 2 16 4 99 2 0 0 0 5 0 25 17
 2 0 0 0 16 1 6.325 0 9.434 0 0 0 0 0
 2 0 0 3 1 5 9.22 0 3.162 0 0 0 5 0
 2 0 0 0 33 4 5.831 0 8.544 0 0 0 0 0
 4 0 0 80 3 312 9.434 0 0 0 0 0 32 27
 2 0 0 8 13 58 7.616 0 3.606 0 0 0 7 4
 2 0 0 0 68 13 6.083 0 7.211 0 11 11 0 0
 2 0 0 0 2 29 9.055 0 6.083 0 0 0 0 0
 3 0 64 0 204 0 0 0 -1 -1 31 24 0 0
 2 23 15 0 57 6 2 0 7.28 0 5 1 0 0
 2 0 0 7 4 21 7.81 0 2.236 0 0 0 8 8
 2 0 0 4 5 4 8.602 0 3.162 0 0 0 5 1
 2 0 4 17 42 27 3.606 0 1 0 15 5 20 20
 4 0 0 2 43 7 6.083 0 0 0 8 6 8 0
 4 0 10 42 61 105 3.606 0 0 0 10 15 25 19
 4 0 0 54 0 158 -1 -1 0 0 0 0 23 24
 2 18 5 3 113 67 4 0 3.606 0 22 10 0 0
 1 0 16 0 116 0 2 0 -1 -1 21 18 0 0
 3 0 37 0 157 0 0 0 -1 -1 22 25 0 0
 2 23 0 0 0 6 -1 -1 6.708 0 0 0 0 0
 3 0 41 7 138 29 0 0 3 0 19 24 5 2
 4 0 0 41 6 133 8.062 0 0 0 0 0 30 26
 2 23 0 29 7 125 7.616 0 1 0 5 0 21 1
 4 0 0 81 0 284 -1 -1 0 0 9 5 25 26
 3 0 79 0 200 62 0 0 5.657 0 28 26 5 1
 4 0 4 73 41 258 2.236 0 0 0 12 2 33 27
 2 23 0 0 3 9 7.28 0 7.211 0 0 0 0 0
 4 0 6 34 53 113 3.606 0 0 0 0 0 25 19
 2 0 0 9 1 29 9.849 0 1 0 0 0 10 14
 2 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 1 0 24 0 99 18 1 0 5.385 0 23 18 0 0
 2 23 0 26 7 100 8.062 0 2 0 5 1 0 0
 2 23 0 0 0 2 -1 -1 6 0 0 0 0 0
 2 0 9 0 36 0 2.236 0 -1 -1 16 11 0 0
 2 0 8 0 88 2 4 0 9.487 0 13 15 0 0
 3 0 69 1 206 23 0 0 5 0 23 27 5 4
 3 0 44 0 137 2 0 0 5.657 0 35 27 5 5
 4 0 42 36 93 144 1 0 0 0 26 21 29 23
 2 23 0 0 22 0 6.325 0 -1 -1 5 0 0 0
 3 0 63 6 168 27 0 0 3 0 21 25 9 10
 2 0 0 18 0 102 -1 -1 2 0 0 0 9 18
 2 16 0 12 0 65 -1 -1 2.236 0 0 0 0 0
 3 0 81 0 278 5 0 0 8.544 0 32 25 13 2
 3 0 42 19 67 85 0 0 2.236 0 17 19 9 14
 1 0 1 0 82 1 5 0 9.899 0 14 21 0 0
 2 0 6 0 27 5 3.606 0 8.062 0 5 11 0 0
 2 0 0 8 2 69 6.325 0 2.236 0 0 0 5 13
 2 24 11 11 117 35 2.236 0 2.828 0 17 16 0 0
 3 0 79 2 257 5 0 0 4.472 0 28 24 5 0
 4 0 31 15 129 30 1 0 0 0 29 22 22 19
 2 0 0 0 13 8 7 0 7.81 0 0 0 6 6
 3 0 55 9 168 22 0 0 2.236 0 32 31 7 11
 2 0 8 0 11 4 2.236 0 8.062 0 0 0 0 0
 2 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 1 0 2 9 4 42 4 0 3.606 0 6 0 0 0
 2 0 0 4 6 4 7.81 0 3.606 0 0 0 5 0
 2 0 15 13 64 69 2.828 0 3 0 23 10 13 16
 3 0 81 0 291 14 0 0 7.071 0 27 23 0 0
 2 0 0 6 3 83 9.434 0 3.606 0 0 0 5 9
 4 0 2 79 34 245 5 0 0 0 0 0 30 24
 2 0 2 0 17 0 4.472 0 -1 -1 0 0 0 0
 2 0 0 0 3 8 7.616 0 7 0 0 0 0 0
 3 0 73 0 217 0 0 0 -1 -1 26 26 0 0
 3 0 81 0 270 1 0 0 9.22 0 29 26 3 0
 2 0 33 13 69 74 1.414 0 2.236 0 25 16 12 12
 2 23 0 4 0 70 -1 -1 4.472 0 0 0 0 0
 2 0 6 18 33 102 4 0 2.828 0 11 6 24 18
