class last.change n5.d3 n5.d4 n10.d3 n10.d4 dist.d3 last.d3 last.d4 dist.d4  r3.sdl r3.sap r4.sdl r4.sap
 3 0 81 0 308 7 0 0 8 0 31 24 0 0
 4 0 0 46 5 155 9.22 0 0 0 0 0 24 26
 2 0 0 12 0 50 -1 -1 2.236 0 0 0 14 20
 2 0 1 0 14 3 5 0 9.22 0 0 0 0 0
 3 0 49 0 91 7 0 0 8.944 0 23 20 0 0
 4 0 0 79 4 311 8.944 0 0 0 0 0 25 26
 2 23 0 0 16 6 8.062 0 8.062 0 5 1 0 0
 4 0 0 64 20 189 6.403 0 0 0 0 0 27 22
 3 0 55 6 83 45 0 0 4.123 0 21 21 5 5
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 3 0 60 0 194 14 0 0 6.403 0 27 26 5 0
 4 0 5 76 9 220 3.162 0 0 0 8 5 22 24
 2 23 0 0 0 13 -1 -1 7.81 0 0 0 0 0
 2 0 16 0 28 4 2.828 0 9.434 0 10 11 0 0
 2 0 0 0 8 2 6.708 0 9.899 0 0 0 0 0
 3 0 10 43 22 104 0 0 1 0 16 18 24 22
 2 0 0 26 2 100 9.899 0 1 0 0 0 20 24
 2 0 18 0 33 0 1.414 0 -1 -1 20 16 0 0
 2 0 0 21 0 80 -1 -1 1.414 0 5 8 17 23
 4 0 1 80 24 271 5 0 0 0 0 0 32 28
 3 0 70 7 198 62 0 0 3.606 0 23 28 26 14
 2 22 0 43 8 132 7.81 0 1 0 0 0 28 4
 2 23 0 3 0 31 -1 -1 4 0 0 0 0 0
 2 0 0 2 1 4 10 0 4.123 0 0 0 5 1
 2 0 21 0 28 0 1 0 -1 -1 18 21 0 0
 3 0 17 18 42 21 0 0 1 0 15 17 18 18
 2 0 6 0 32 0 3.162 0 -1 -1 5 6 0 0
 4 0 9 72 9 268 2 0 0 0 10 6 22 23
 4 0 18 61 61 221 2 0 0 0 9 16 28 24
 4 0 0 30 0 55 -1 -1 0 0 0 0 28 22
 3 0 69 4 219 5 0 0 3.606 0 34 26 0 0
 4 0 0 62 0 226 -1 -1 0 0 0 0 33 27
 4 0 9 35 64 98 2.828 0 0 0 16 11 26 21
 2 0 2 0 4 0 2.236 0 -1 -1 0 0 0 0
 4 0 0 81 13 262 7.616 0 0 0 9 5 32 24
 3 0 58 7 126 30 0 0 4 0 23 24 0 0
 3 0 41 29 77 119 0 0 2.828 0 23 24 14 22
 2 15 0 0 0 10 -1 -1 8 0 5 8 0 0
 4 0 24 45 124 69 1 0 0 0 24 19 28 24
 3 0 36 9 49 80 0 0 1.414 0 26 22 7 13
 4 0 0 81 12 247 8.544 0 0 0 0 0 35 26
 4 0 0 59 24 152 6.403 0 0 0 0 0 22 22
 2 0 21 0 26 1 1 0 9.055 0 19 15 0 0
 4 0 32 39 156 86 1 0 0 0 32 27 20 22
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 2 0 0 16 36 63 5.385 0 2 0 0 0 21 9
 3 0 58 15 147 30 0 0 2.236 0 24 23 16 14
 1 0 18 1 35 4 1 0 4.123 0 21 19 0 0
 2 0 3 0 7 17 2.236 0 7.81 0 5 0 5 0
 2 0 6 0 41 1 4 0 9.22 0 5 6 0 0
 1 0 0 2 7 2 8 0 3.606 0 27 2 0 0
 4 0 0 27 3 94 9 0 0 0 16 4 19 22
 2 23 0 0 11 0 5.099 0 -1 -1 0 0 0 0
 2 0 0 4 9 67 5.831 0 4.123 0 0 0 29 2
 2 15 3 0 3 55 3.162 0 6.083 0 0 0 35 8
 2 0 0 4 0 4 -1 -1 1.414 0 0 0 5 0
 3 0 39 8 74 71 0 0 2.236 0 22 25 12 12
 2 23 0 5 0 31 -1 -1 3.606 0 0 0 0 0
 2 15 2 0 67 3 5 0 8.544 0 5 10 0 0
 2 0 0 4 0 4 -1 -1 2.236 0 13 4 0 0
 4 0 21 44 127 86 3 0 0 0 16 20 20 20
 4 0 0 38 2 72 6.325 0 0 0 0 0 24 20
 3 0 80 1 227 20 0 0 5 0 23 28 0 0
 4 0 2 26 2 100 4.472 0 0 0 0 0 23 23
 2 0 5 0 28 0 4.243 0 -1 -1 8 9 0 0
 2 24 0 3 0 51 -1 -1 4.472 0 0 0 0 0
 2 0 0 4 1 50 9.487 0 4.472 0 0 0 6 11
 2 0 9 8 30 76 1.414 0 4 0 15 17 27 8
 3 0 63 15 202 42 0 0 1 0 25 25 13 13
 2 0 0 0 15 19 6.325 0 6.708 0 14 7 5 1
 2 16 0 6 1 52 9.849 0 3.162 0 0 0 0 0
 2 0 6 20 19 39 3.162 0 2.236 0 5 0 5 0
 2 23 0 30 0 60 -1 -1 2 0 0 0 17 2
 2 0 0 8 8 8 5.657 0 1.414 0 0 0 11 19
 2 18 16 15 90 103 2.828 0 2.236 0 25 17 21 5
 2 23 4 0 21 2 1 0 7.28 0 13 18 0 0
 2 0 0 2 2 12 9.487 0 4 0 0 0 0 0
 4 0 2 71 23 155 4.472 0 0 0 0 0 29 25
 2 15 0 0 20 0 6 0 -1 -1 5 0 0 0
 3 0 81 0 235 24 0 0 5.385 0 30 25 6 12
 2 0 27 0 120 21 1 0 7.211 0 28 21 11 9
 2 0 11 0 44 1 2 0 9.22 0 5 6 0 0
 4 0 0 81 3 295 8.062 0 0 0 0 0 32 25
 2 0 0 0 38 5 5.099 0 8.544 0 0 0 0 0
 2 0 29 8 111 60 1 0 3.606 0 28 22 12 15
 2 0 0 13 3 131 6.325 0 3.606 0 0 0 19 16
 2 0 3 0 16 7 1.414 0 8.602 0 5 0 5 5
 3 0 24 0 56 2 0 0 5.385 0 25 21 5 0
 2 19 0 3 43 7 5.831 0 4.243 0 0 0 0 0
 2 0 0 0 66 21 5.385 0 7 0 11 10 0 0
 3 0 81 0 279 15 0 0 6.083 0 29 26 0 0
 2 0 0 0 29 25 6.325 0 6.403 0 16 4 14 4
 2 23 0 0 37 3 7.616 0 9 0 0 0 0 0
 2 0 0 6 9 73 5.099 0 4 0 12 5 5 6
 3 0 34 20 120 47 0 0 2 0 23 21 15 6
 3 0 52 3 183 5 0 0 3.162 0 30 26 0 0
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 3 0 81 0 286 5 0 0 6.083 0 29 26 5 5
 2 0 0 0 6 13 8.944 0 7.28 0 0 0 12 4
 2 0 1 0 28 0 4.472 0 -1 -1 9 13 0 0
 2 0 0 0 6 0 8.544 0 -1 -1 0 0 0 0
 4 0 1 7 2 8 5 0 0 0 6 3 15 14
 3 0 41 31 136 36 0 0 1 0 18 22 22 19
 2 0 1 4 28 29 5 0 4.123 0 5 1 12 3
 2 15 0 4 0 51 -1 -1 4.123 0 0 0 12 7
 3 0 79 2 271 35 0 0 1 0 31 25 7 2
 3 0 41 32 86 132 0 0 1 0 17 22 29 19
 2 0 0 38 13 173 7 0 1.414 0 5 8 15 20
 3 0 61 0 127 0 0 0 -1 -1 31 22 0 0
 2 0 0 0 28 24 5.831 0 6.403 0 0 0 30 2
 4 0 0 48 3 116 9.055 0 0 0 0 0 31 27
 2 0 2 0 16 11 4.123 0 8.062 0 5 6 4 0
 2 0 17 0 74 0 2.828 0 -1 -1 21 18 0 0
 3 0 38 13 132 71 0 0 3 0 29 24 23 17
 2 23 5 0 11 11 2.236 0 8.944 0 5 0 0 0
 2 0 9 8 35 68 1 0 4 0 14 18 1 0
 2 0 3 0 8 1 3 0 8 0 5 6 0 0
 2 0 0 4 4 62 8.062 0 4.472 0 0 0 5 6
 4 0 12 52 18 183 1 0 0 0 14 21 27 22
 2 19 21 41 45 124 1.414 0 1 0 22 17 22 6
 2 0 0 0 34 0 5.657 0 -1 -1 0 0 0 0
 2 23 0 25 1 69 10 0 2 0 0 0 23 2
 2 0 0 0 3 1 9.487 0 10 0 0 0 0 0
 2 23 0 9 0 33 -1 -1 1 0 0 0 24 2
 2 0 0 2 0 35 -1 -1 5 0 0 0 6 8
 3 0 59 17 222 23 0 0 1 0 26 21 12 18
 2 0 7 0 60 22 3.606 0 5.099 0 19 18 5 5
 2 0 0 0 16 0 5.385 0 -1 -1 0 0 0 0
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 2 15 22 2 104 2 2.236 0 4.472 0 34 19 0 0
 3 0 51 0 148 5 0 0 9.22 0 24 24 5 1
 4 0 28 37 67 116 1.414 0 0 0 15 16 19 23
 4 0 12 52 42 155 2 0 0 0 12 19 20 22
 2 16 0 20 0 75 -1 -1 1 0 0 0 23 8
 4 0 9 28 67 91 2.236 0 0 0 8 15 30 20
 2 0 24 0 94 0 2 0 -1 -1 23 13 17 9
 1 0 3 2 26 2 4.123 0 4 0 5 6 0 0
 3 0 75 6 202 19 0 0 3.606 0 23 22 0 0
 3 0 81 0 256 1 0 0 10 0 31 26 0 0
 3 0 79 2 269 24 0 0 2.828 0 29 23 5 0
 2 0 12 0 27 2 2.236 0 5.657 0 20 8 0 0
 4 0 3 29 3 152 4.243 0 0 0 3 0 29 23
 2 0 0 4 0 4 -1 -1 2.236 0 0 0 5 0
 2 0 1 0 46 4 5 0 7.616 0 23 6 0 0
 2 0 7 0 37 31 2.236 0 6.403 0 11 8 5 6
 2 0 0 9 0 55 -1 -1 2.828 0 0 0 14 15
 2 0 12 12 63 36 2.236 0 2 0 11 9 15 15
 4 0 0 64 0 198 -1 -1 0 0 0 0 23 25
 4 0 15 28 86 36 2.236 0 0 0 6 7 18 22
 2 23 0 0 0 1 -1 -1 10 0 0 0 0 0
 2 19 21 5 49 23 2.236 0 2 0 23 13 0 0
 3 0 25 0 30 0 0 0 -1 -1 26 21 0 0
 3 0 34 11 34 63 0 0 2 0 16 21 23 11
 3 0 76 0 216 4 0 0 6.708 0 29 21 0 0
 2 15 0 28 2 87 6 0 1.414 0 0 0 22 8
 2 0 6 0 30 1 3 0 8 0 12 6 0 0
 3 0 22 0 115 19 0 0 5.385 0 34 19 5 0
 2 23 13 0 75 14 3.606 0 6.708 0 14 16 0 0
 2 0 0 0 2 37 8.944 0 6.403 0 0 0 5 1
 4 0 0 68 9 214 5.385 0 0 0 0 0 29 24
 2 23 0 0 13 0 7.81 0 -1 -1 0 0 0 0
 2 23 0 36 0 60 -1 -1 1 0 0 0 24 1
 3 0 58 13 151 82 0 0 2.828 0 23 21 25 21
 2 0 0 0 30 11 7.071 0 6.403 0 17 2 0 0
 2 18 11 11 94 96 3.162 0 2.828 0 16 18 23 3
 2 0 5 2 21 24 2.828 0 4.472 0 5 0 0 0
 3 0 42 11 139 57 0 0 2 0 27 25 19 6
 3 0 37 0 79 0 0 0 -1 -1 24 25 0 0
 2 0 0 0 5 1 8.602 0 10 0 0 0 0 0
 2 0 0 0 4 6 9.055 0 9 0 0 0 5 4
 2 0 1 0 19 0 4.472 0 -1 -1 0 0 21 3
 2 0 20 21 83 52 1 0 1 0 26 21 17 21
 2 0 0 2 41 2 6 0 2.828 0 9 7 5 0
 3 0 60 0 205 7 0 0 7.81 0 16 23 22 4
 2 0 2 0 30 25 5 0 6 0 0 0 21 13
 2 24 0 10 0 90 -1 -1 3 0 1 0 22 1
 2 18 11 0 63 23 3 0 6 0 14 11 0 0
 2 23 2 1 51 31 3 0 5 0 5 6 0 0
 2 0 0 11 0 79 -1 -1 3 0 0 0 9 10
 2 23 0 5 0 34 -1 -1 3.162 0 0 0 0 0
 4 0 12 39 20 107 2.236 0 0 0 20 11 24 23
 2 0 0 0 14 27 8 0 6.325 0 0 0 5 7
 1 0 7 0 91 0 3.162 0 -1 -1 17 7 0 0
 2 23 0 0 5 2 8.944 0 7.81 0 6 7 0 0
 4 0 0 75 0 213 -1 -1 0 0 0 0 36 24
 2 0 18 0 86 13 1.414 0 8.246 0 18 22 11 5
 4 0 0 31 3 104 8.544 0 0 0 0 0 26 22
 2 23 0 10 1 66 9.849 0 3.162 0 0 0 29 2
 4 0 0 43 3 106 5.385 0 0 0 0 0 23 21
 4 0 0 76 0 259 -1 -1 0 0 0 0 32 27
 2 0 4 2 49 54 4.243 0 4.123 0 9 9 18 7
 3 0 27 7 117 41 0 0 2.236 0 38 21 12 7
 2 23 4 0 26 1 3.162 0 9.849 0 0 0 0 0
 2 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 4 0 14 41 34 116 1 0 0 0 14 19 22 18
 2 15 0 0 0 23 -1 -1 6 0 0 0 16 5
 2 0 0 2 16 15 7.071 0 5 0 7 5 0 0
 2 0 0 0 3 0 8.062 0 -1 -1 12 7 0 0
 4 0 0 61 11 153 7.071 0 0 0 15 6 25 22
 1 0 24 0 98 0 1 0 -1 -1 19 19 0 0
 3 0 43 33 102 124 0 0 1 0 25 23 23 23
 2 0 8 0 60 0 3.162 0 -1 -1 14 15 0 0
 2 23 9 0 66 12 3.606 0 8.062 0 14 15 0 0
 3 0 55 26 151 134 0 0 1 0 20 21 18 23
 2 23 0 0 0 2 -1 -1 8.544 0 0 0 0 0
 2 0 21 0 92 37 2.236 0 6.325 0 19 18 8 5
 3 0 10 54 22 106 0 0 1 0 26 15 23 20
 3 0 45 0 126 4 0 0 8 0 30 25 0 0
 2 23 2 16 2 63 3.606 0 2.236 0 0 0 0 0
 2 0 5 0 19 0 3.606 0 -1 -1 5 0 0 0
 2 23 9 0 50 5 3.162 0 8.544 0 14 4 0 0
 2 23 2 3 2 53 1.414 0 2 0 5 0 0 0
 2 15 2 12 10 79 3.162 0 4 0 0 0 0 0
 3 0 80 0 195 4 0 0 8.944 0 30 24 0 0
 2 23 0 0 0 3 -1 -1 9.434 0 0 0 0 0
 4 0 19 53 74 73 3.162 0 0 0 22 11 17 24
 4 0 0 61 16 161 7 0 0 0 0 0 27 21
 2 0 5 0 18 0 3 0 -1 -1 5 0 0 0
 2 23 0 20 0 45 -1 -1 1 0 0 0 25 1
 4 0 0 7 2 29 9.434 0 0 0 0 0 17 20
 2 23 0 0 47 1 5.385 0 9.899 0 0 0 0 0
 1 0 16 0 80 12 1.414 0 5.657 0 16 18 0 0
 2 23 9 2 17 5 2 0 1 0 5 5 6 0
 2 23 8 0 43 0 4 0 -1 -1 5 1 0 0
 4 0 0 55 31 139 6.403 0 0 0 14 12 27 25
 2 15 0 1 24 52 6.708 0 5 0 0 0 0 0
 2 0 11 0 77 6 3 0 8.062 0 0 0 0 0
 2 25 26 3 122 29 1.414 0 4.123 0 30 18 0 0
 2 0 6 0 8 8 1.414 0 5.099 0 9 1 0 0
 2 0 4 0 31 33 4.243 0 6 0 5 4 13 16
 2 0 19 6 34 96 2 0 4.243 0 23 12 17 13
 2 0 0 0 2 7 6 0 7.616 0 0 0 0 0
 2 0 29 3 71 69 1.414 0 4 0 13 21 0 0
 2 0 0 0 0 2 -1 -1 7.28 0 13 8 0 0
 3 0 47 34 169 115 0 0 1 0 31 25 21 22
 4 0 7 66 22 267 3.162 0 0 0 18 13 35 30
 2 23 8 2 32 21 2.236 0 4.123 0 18 6 0 0
 2 23 0 8 0 34 -1 -1 2.236 0 0 0 0 0
 3 0 56 1 165 4 0 0 5 0 20 22 0 0
 3 0 53 0 154 2 0 0 5.831 0 30 26 22 2
 2 0 3 1 3 14 2.236 0 5 0 26 3 0 0
 2 18 14 1 70 40 2 0 5 0 14 16 0 0
 4 0 24 54 80 144 2.236 0 0 0 12 12 24 23
 2 23 8 0 73 3 3.606 0 7.071 0 5 5 0 0
 3 0 44 7 144 31 0 0 2.236 0 22 23 21 3
 2 0 0 2 6 5 8.944 0 3.606 0 0 0 5 0
 2 0 1 0 10 9 4.123 0 8 0 5 0 18 9
 3 0 39 7 126 27 0 0 2 0 31 24 20 11
 2 0 8 0 105 15 4 0 7.071 0 12 9 21 2
 3 0 40 6 140 23 0 0 3 0 31 25 18 8
 2 0 1 0 20 0 5 0 -1 -1 10 12 0 0
 2 0 3 0 24 13 3.162 0 7.071 0 7 9 0 0
 2 23 2 2 5 27 3 0 4 0 8 1 0 0
 2 23 29 0 65 52 1 0 6.083 0 14 15 0 0
 2 23 0 28 3 79 9.434 0 2 0 0 0 0 0
 2 0 0 0 0 8 -1 -1 6.708 0 11 5 5 3
 4 0 0 64 20 186 8 0 0 0 0 0 31 25
 4 0 9 53 25 266 3.606 0 0 0 5 0 25 24
 2 0 4 2 8 48 2 0 4 0 0 0 19 12
 2 0 0 30 3 154 5.657 0 1.414 0 0 0 29 22
 4 0 0 54 12 175 7.071 0 0 0 0 0 30 27
 2 0 0 14 2 86 9.22 0 2.236 0 0 0 5 11
 3 0 25 0 91 13 0 0 6 0 28 22 0 0
 3 0 71 0 142 49 0 0 5.657 0 24 22 23 6
 2 0 1 0 24 28 5 0 7 0 11 13 0 0
 2 0 20 0 90 8 2 0 9 0 15 17 0 0
 2 15 2 4 12 73 3.606 0 4.472 0 0 0 19 9
 3 0 51 14 144 108 0 0 2.236 0 28 23 20 14
 2 0 14 0 30 0 2.828 0 -1 -1 14 15 0 0
 2 15 0 2 0 28 -1 -1 4.472 0 0 0 28 9
 2 0 2 0 2 2 4.123 0 9.055 0 0 0 0 0
 2 0 0 0 15 0 6 0 -1 -1 0 0 0 0
 2 18 0 3 30 34 6.325 0 4.123 0 0 0 0 0
 3 0 42 13 147 19 0 0 1 0 24 22 18 17
 2 0 30 6 127 33 1 0 2.236 0 23 24 5 0
 1 0 28 0 135 9 2.828 0 7.616 0 26 18 0 0
 2 23 0 2 0 6 -1 -1 2.236 0 0 0 0 0
 2 0 0 1 9 7 8.602 0 4.123 0 0 0 0 0
 3 0 76 0 223 4 0 0 9 0 29 23 0 0
 2 23 0 28 0 148 -1 -1 2 0 0 0 21 1
 4 0 3 25 4 32 4.243 0 0 0 0 0 16 23
 2 0 0 1 2 44 8.246 0 4.123 0 0 0 18 13
 2 0 10 0 21 0 1 0 -1 -1 17 18 0 0
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 2 0 0 0 1 1 9.899 0 10 0 0 0 0 0
 2 23 0 26 4 43 9 0 1 0 0 0 16 2
 2 23 0 0 8 47 7.81 0 7.071 0 5 0 20 2
 2 0 9 0 19 23 3 0 7.211 0 25 9 0 0
 2 15 0 0 0 11 -1 -1 7.071 0 0 0 0 0
 2 0 0 4 3 46 6.708 0 1 0 0 0 14 13
 2 0 0 1 36 41 5.657 0 5 0 11 8 11 15
 4 0 19 29 92 54 1 0 0 0 24 18 21 21
 2 0 2 7 2 7 3.606 0 2.828 0 0 0 5 0
 2 23 0 4 0 26 -1 -1 4 0 0 0 0 0
 2 0 0 0 0 1 -1 -1 9.22 0 0 0 5 0
 3 0 8 13 51 35 0 0 2.236 0 13 12 12 3
 3 0 59 0 115 13 0 0 6.325 0 29 22 5 2
 4 0 8 57 44 197 3.606 0 0 0 6 9 30 23
 3 0 81 0 280 2 0 0 9.055 0 26 25 0 0
 2 0 7 0 15 2 2.236 0 9 0 5 0 0 0
 2 0 0 0 10 0 8.602 0 -1 -1 5 6 0 0
 3 0 60 0 169 24 0 0 6.403 0 30 24 0 0
 2 0 2 0 16 0 4 0 -1 -1 5 2 0 0
 2 0 0 0 0 2 -1 -1 8.485 0 0 0 5 5
 2 0 0 0 0 17 -1 -1 7.28 0 0 0 19 7
 4 0 0 65 59 190 5.385 0 0 0 28 15 17 25
 1 0 15 12 78 49 2 0 2 0 5 1 0 0
 2 23 0 0 0 4 -1 -1 6.083 0 0 0 0 0
 2 0 8 3 45 40 2.236 0 4.472 0 11 15 11 3
 3 0 75 0 200 9 0 0 8.062 0 22 25 0 0
 4 0 4 45 68 81 4 0 0 0 13 13 29 23
 2 23 0 14 3 92 6.083 0 2.236 0 0 0 0 0
 2 15 1 3 18 66 4.472 0 5 0 0 0 12 6
 3 0 46 0 101 0 0 0 -1 -1 24 26 0 0
 3 0 66 0 196 2 0 0 9.055 0 31 24 0 0
 2 23 0 14 0 109 -1 -1 3.162 0 0 0 27 3
 2 0 15 0 78 15 2.828 0 7.071 0 19 13 10 3
 2 15 0 2 40 5 5.385 0 1.414 0 7 13 5 0
 2 15 0 0 0 9 -1 -1 8.246 0 0 0 0 0
 3 0 42 0 163 0 0 0 -1 -1 29 22 0 0
 4 0 39 16 151 36 1 0 0 0 26 23 22 23
 1 0 29 0 123 0 2 0 -1 -1 19 13 0 0
 3 0 29 0 64 0 0 0 -1 -1 24 23 0 0
 4 0 21 19 39 25 1.414 0 0 0 14 15 16 21
 2 0 1 2 15 2 5 0 4 0 0 0 5 1
 3 0 43 19 84 111 0 0 2.236 0 27 22 14 22
 4 0 4 74 44 253 2 0 0 0 5 0 24 24
 3 0 81 0 281 18 0 0 5.099 0 23 24 0 0
 2 24 0 65 12 186 6.403 0 1.414 0 0 0 26 1
 3 0 73 3 196 70 0 0 4.472 0 27 25 19 17
 4 0 14 67 76 234 2 0 0 0 13 15 31 24
 2 23 15 2 70 3 2 0 4.123 0 10 11 0 0
 2 0 0 4 0 4 -1 -1 2 0 0 0 5 1
 4 0 17 56 21 268 1 0 0 0 13 13 29 27
 4 0 0 31 0 74 -1 -1 0 0 0 0 22 22
 3 0 43 0 122 0 0 0 -1 -1 36 28 0 0
 2 0 17 0 31 3 1 0 9.434 0 19 8 16 2
 4 0 18 63 62 186 1 0 0 0 22 23 30 24
 2 0 16 11 82 28 1.414 0 2 0 19 20 12 9
 2 0 0 0 3 0 8.062 0 -1 -1 0 0 0 0
 4 0 3 58 36 177 4.123 0 0 0 5 8 23 22
 3 0 63 1 180 27 0 0 4.472 0 30 27 0 0
 2 0 0 0 13 12 8 0 7.071 0 5 6 0 0
 2 23 0 0 0 38 -1 -1 7.071 0 0 0 16 2
 4 0 0 66 46 150 5.099 0 0 0 0 0 21 22
 2 0 2 0 2 2 3.162 0 9 0 5 0 0 0
 4 0 5 53 62 100 1 0 0 0 13 20 19 22
 4 0 10 33 20 75 3 0 0 0 5 1 23 22
 2 0 2 0 18 1 4.123 0 5.385 0 7 9 0 0
 2 0 0 0 3 9 7.071 0 7.211 0 7 8 0 0
 2 0 0 3 6 25 6.403 0 4.123 0 0 0 0 0
 2 23 0 24 4 86 8.944 0 2.828 0 0 0 0 0
 2 23 0 0 0 0 -1 -1 -1 -1 0 0 0 0
 4 0 1 59 26 185 5 0 0 0 17 4 28 22
 4 0 1 80 52 227 4.472 0 0 0 14 15 30 24
 1 0 7 0 19 0 3.606 0 -1 -1 9 6 0 0
 2 0 2 0 4 0 4.123 0 -1 -1 5 0 0 0
 3 0 39 0 61 34 0 0 6 0 23 20 5 5
 3 0 65 0 197 0 0 0 -1 -1 24 25 0 0
 2 0 0 0 0 4 -1 -1 8.485 0 0 0 0 0
 2 0 0 0 6 20 8 0 7 0 0 0 13 3
 2 0 31 2 75 60 1 0 4.123 0 14 23 9 11
 4 0 1 35 43 63 5 0 0 0 21 3 17 21
 2 0 10 16 61 37 1.414 0 2 0 5 8 14 9
 2 0 0 34 3 181 8.944 0 1 0 0 0 23 24
 3 0 78 0 215 29 0 0 6 0 29 24 3 0
 2 23 0 2 0 12 -1 -1 4.123 0 0 0 0 0
 4 0 0 32 3 88 9.055 0 0 0 0 0 23 21
 2 0 4 3 46 40 4 0 4.123 0 13 9 12 6
 2 23 5 0 7 16 2 0 8.062 0 0 0 0 0
 2 23 0 0 0 41 -1 -1 6.708 0 0 0 0 0
 2 23 5 1 5 35 3 0 5 0 5 4 0 0
 4 0 2 59 9 148 4.472 0 0 0 0 0 30 25
 4 0 0 28 14 44 7.071 0 0 0 16 10 17 19
 2 23 0 0 0 14 -1 -1 7.81 0 0 0 0 0
 4 0 19 56 71 147 1 0 0 0 16 22 23 21
 2 0 0 16 0 101 -1 -1 3.162 0 0 0 10 13
 3 0 48 0 79 41 0 0 5.657 0 23 20 6 7
 4 0 4 77 13 266 4 0 0 0 0 0 27 28
 3 0 25 0 33 0 0 0 -1 -1 27 22 0 0
 2 0 7 0 73 0 3.162 0 -1 -1 22 11 21 2
 2 23 0 31 0 162 -1 -1 2 0 0 0 0 0
 1 0 0 0 52 5 5.831 0 6.325 0 15 18 0 0
 2 0 0 0 10 1 7.616 0 9.849 0 5 5 0 0
 3 0 52 2 100 7 0 0 5 0 24 21 0 0
 2 23 0 13 4 35 9 0 2.236 0 0 0 0 0
 4 0 30 13 63 91 1 0 0 0 22 20 16 18
 2 23 0 0 2 24 9.434 0 6 0 0 0 0 0
 4 0 0 66 50 147 6.708 0 0 0 13 9 22 24
 3 0 56 0 128 21 0 0 7.071 0 30 22 0 0
 2 0 2 12 40 26 4.123 0 2 0 8 10 5 1
 4 0 20 36 75 80 1 0 0 0 20 21 19 19
 2 0 0 42 17 192 6.325 0 1 0 0 0 26 21
 4 0 16 30 130 30 3.606 0 0 0 12 16 19 21
 3 0 17 0 27 0 0 0 -1 -1 21 20 0 0
 2 23 0 4 0 59 -1 -1 5 0 0 0 0 0
 3 0 49 0 104 7 0 0 7.071 0 24 20 0 0
 2 23 0 0 0 6 -1 -1 8.944 0 0 0 0 0
 3 0 9 72 21 291 0 0 1 0 12 14 29 27
 2 0 5 0 18 0 3 0 -1 -1 5 0 0 0
 2 0 0 0 5 45 8 0 6 0 0 0 5 1
 3 0 63 18 139 30 0 0 2 0 23 22 9 12
 1 0 45 0 94 28 1.414 0 5.657 0 17 14 0 0
 4 0 43 38 126 161 1 0 0 0 20 20 32 26
 2 0 0 33 58 75 5.657 0 1 0 9 15 22 22
 2 0 0 6 16 38 7.071 0 4.123 0 18 1 5 2
 3 0 60 19 127 130 0 0 2.236 0 20 23 19 11
 4 0 0 81 0 312 -1 -1 0 0 0 0 32 29
 3 0 59 4 204 4 0 0 3.606 0 23 24 0 0
 2 0 0 3 6 4 8.944 0 4 0 0 0 0 0
 3 0 42 0 164 0 0 0 -1 -1 28 23 0 0
 3 0 81 0 272 2 0 0 9.487 0 32 24 0 0
 2 19 26 25 48 105 1 0 2.236 0 15 22 11 6
 2 23 0 0 12 0 7.81 0 -1 -1 0 0 0 0
 2 0 11 2 31 5 1.414 0 4.472 0 14 14 0 0
 2 0 2 0 26 3 4.123 0 8.944 0 0 0 0 0
 2 0 5 1 20 1 3.162 0 3 0 0 0 0 0
 3 0 46 0 141 7 0 0 6 0 26 26 0 0
 2 0 0 2 2 4 8.062 0 4.123 0 0 0 5 0
 2 23 0 0 0 7 -1 -1 9.22 0 0 0 0 0
 2 0 0 0 20 17 7 0 7.071 0 5 7 0 0
 2 24 0 0 0 34 -1 -1 5.385 0 0 0 0 0
 2 0 0 7 8 58 8.246 0 3.606 0 0 0 14 13
 2 0 22 0 28 1 2 0 10 0 6 10 0 0
 4 0 15 64 183 85 3 0 0 0 29 19 23 23
 2 0 8 0 63 29 4.123 0 6.325 0 16 17 0 0
 2 0 4 7 40 38 4.123 0 3.162 0 10 14 8 9
 3 0 49 25 177 64 0 0 1.414 0 23 22 19 17
 2 23 3 19 42 79 4 0 2 0 6 12 0 0
 2 0 22 0 90 10 2.236 0 7.81 0 23 15 0 0
 3 0 59 0 178 16 0 0 6.325 0 32 24 0 0
 2 23 0 9 0 41 -1 -1 2.236 0 0 0 0 0
 2 22 11 0 49 45 2.828 0 6.083 0 19 14 0 0
 3 0 52 0 176 0 0 0 -1 -1 28 24 7 9
 2 0 1 0 2 0 4.123 0 -1 -1 0 0 0 0
 4 0 27 24 165 62 2.828 0 0 0 27 16 24 17
 2 0 0 0 0 20 -1 -1 6.325 0 0 0 0 0
 2 0 1 0 24 44 5 0 5.657 0 12 3 1 0
 3 0 81 0 255 28 0 0 7.071 0 30 23 18 2
 2 23 0 30 0 137 -1 -1 1.414 0 0 0 0 0
 4 0 0 52 0 197 -1 -1 0 0 0 0 32 25
 2 15 0 24 2 90 5.385 0 1 0 0 0 21 9
 2 0 0 6 11 14 6.708 0 3.162 0 25 15 5 0
 4 0 0 34 4 104 5.657 0 0 0 0 0 24 21
 2 0 0 0 12 11 6.083 0 6.708 0 0 0 0 0
